DD-MM-YYYY,Danube,Budapest,France
12/11/2000,5430,1396,436.044
12/12/2000,5400,1372,418.442
12/13/2000,5380,1590,380.942
12/14/2000,5210,1710,309.136
12/15/2000,5020,1649,301.847
12/16/2000,4950,1628,357.742
12/17/2000,4830,1676,343.679
12/18/2000,4720,1627,318.964
12/19/2000,4670,1544,303.972
12/20/2000,4560,1535,295.976
12/21/2000,4350,1696,301.05
12/22/2000,4220,1869,291.313
12/23/2000,4390,1833,281.352
12/24/2000,4430,1685,249.67
12/25/2000,4290,1530,215.811
12/26/2000,4330,1410,218.474
12/27/2000,4480,1319,397.167
12/28/2000,4760,1374,511.654
12/29/2000,4920,1478,482.043
12/30/2000,4860,1590,404.499
12/31/2000,4650,1676,339.572
1/1/2001,4290,1607,281.614
1/2/2001,4160,1455,293.398
1/3/2001,3970,1317,315.403
1/4/2001,3740,1278,334.094
1/5/2001,3560,1365,490.605
1/6/2001,3540,1489,741.173
1/7/2001,3700,1546,780.575
1/8/2001,4140,1569,637.938
1/9/2001,4780,1924,559.225
1/10/2001,5220,2453,495.343
1/11/2001,5550,2677,450.666
1/12/2001,5660,2544,420.217
1/13/2001,5660,2362,376.785
1/14/2001,5630,2261,323.782
1/15/2001,5630,2108,293.652
1/16/2001,5660,1917,286.805
1/17/2001,5680,1753,285.928
1/18/2001,5710,1665,277.008
1/19/2001,5840,1645,279.268
1/20/2001,6110,1642,269.32
1/21/2001,6270,1644,265.286
1/22/2001,6250,1562,262.538
1/23/2001,6250,1464,284.754
1/24/2001,6270,1419,372.573
1/25/2001,6040,1349,600.04
1/26/2001,5900,1381,764.738
1/27/2001,5840,1520,710.116
1/28/2001,5670,1765,654.814
1/29/2001,5370,1884,584.083
1/30/2001,5130,1773,508.045
1/31/2001,4950,1716,433.018
2/1/2001,4720,1684,414.914
2/2/2001,4560,1625,388.219
2/3/2001,4630,1523,356.429
2/4/2001,4770,1475,352.977
2/5/2001,4900,1468,388.315
2/6/2001,5130,1831,406.372
2/7/2001,5320,2364,467.682
2/8/2001,5520,2765,465.692
2/9/2001,5840,2842,472.481
2/10/2001,5970,2840,442.643
2/11/2001,6020,2783,395.525
2/12/2001,6120,2686,351.434
2/13/2001,6140,2511,324.026
2/14/2001,6120,2257,310.667
2/15/2001,6120,2129,299.782
2/16/2001,6070,2153,288.168
2/17/2001,6170,2089,273.907
2/18/2001,6270,1978,263.325
2/19/2001,6400,1911,249.671
2/20/2001,6400,1810,224.293
2/21/2001,6430,1715,237.706
2/22/2001,6380,1721,243.187
2/23/2001,6270,1713,252.901
2/24/2001,6170,1862,251.867
2/25/2001,6070,1855,225.812
2/26/2001,6070,1818,198.636
2/27/2001,6000,1774,203.697
2/28/2001,5770,1689,224.415
3/1/2001,5640,1625,233.639
3/2/2001,5470,1632,251.85
3/3/2001,5280,1636,346.096
3/4/2001,5160,1635,550.143
3/5/2001,5060,1589,527.278
3/6/2001,5040,1712,447.143
3/7/2001,4950,2123,386.153
3/8/2001,4840,2404,505.336
3/9/2001,4740,2418,839.504
3/10/2001,4860,2335,665.667
3/11/2001,5040,2494,625.427
3/12/2001,5370,2723,624.307
3/13/2001,5870,2975,885.564
3/14/2001,6350,3229,809.571
3/15/2001,6740,3461,745.515
3/16/2001,6950,3567,624.908
3/17/2001,7170,3752,534.08
3/18/2001,7250,3836,470.999
3/19/2001,7270,3686,453.598
3/20/2001,7380,3649,516.464
3/21/2001,7490,3484,781.058
3/22/2001,7540,3281,837.23
3/23/2001,7650,3364,737.085
3/24/2001,7710,3961,582.232
3/25/2001,7810,4524,508.16
3/26/2001,8030,5027,542.497
3/27/2001,7980,5359,538.663
3/28/2001,8250,5297,479.97
3/29/2001,8420,5080,761.155
3/30/2001,8590,4911,1156.216
3/31/2001,8710,4498,889.596
4/1/2001,8800,4020,680.469
4/2/2001,8890,3616,562.767
4/3/2001,8890,3284,491.992
4/4/2001,8980,3041,492.798
4/5/2001,9080,2933,475.102
4/6/2001,9140,2790,453.216
4/7/2001,9140,2801,480.285
4/8/2001,9170,2743,675.273
4/9/2001,9230,2749,679.858
4/10/2001,9230,3071,577.184
4/11/2001,9230,3333,538.679
4/12/2001,9400,3252,501.662
4/13/2001,9500,3257,453.897
4/14/2001,9460,3531,415.274
4/15/2001,9400,3415,379.244
4/16/2001,9460,3039,367.093
4/17/2001,9430,2847,389.025
4/18/2001,9360,2936,393.607
4/19/2001,9430,3029,379.115
4/20/2001,9460,3046,357.799
4/21/2001,9600,2997,340.992
4/22/2001,9630,2979,330.608
4/23/2001,9560,3160,332.404
4/24/2001,9600,3298,376.892
4/25/2001,9670,3256,435.805
4/26/2001,9600,3169,699.557
4/27/2001,9670,3135,590.812
4/28/2001,9840,3192,465.498
4/29/2001,10000,3163,411.821
4/30/2001,10200,2946,435.705
5/1/2001,10300,2857,1298.848
5/2/2001,10500,2951,1834.902
5/3/2001,10600,3067,1321.818
5/4/2001,10700,3122,990.163
5/5/2001,10700,3212,767.914
5/6/2001,10700,3265,847.917
5/7/2001,10600,3138,816.601
5/8/2001,10400,3092,665.606
5/9/2001,10300,3042,575.834
5/10/2001,10200,3058,514.897
5/11/2001,9940,2960,468.026
5/12/2001,9730,2853,427.761
5/13/2001,9530,2827,381.952
5/14/2001,9460,2713,347.533
5/15/2001,9360,2567,444.484
5/16/2001,9270,2514,549.147
5/17/2001,9080,2630,464.253
5/18/2001,8920,2712,406.95
5/19/2001,8710,2698,364.518
5/20/2001,8560,2792,329.008
5/21/2001,8390,2763,284.96
5/22/2001,8140,2655,269.895
5/23/2001,7840,2541,258.29
5/24/2001,7600,2453,256.745
5/25/2001,7410,2325,273.011
5/26/2001,7270,2291,254.493
5/27/2001,7080,2337,237.351
5/28/2001,7000,2352,214.372
5/29/2001,6870,2321,225.332
5/30/2001,6770,2292,224.016
5/31/2001,6660,2343,195.698
6/1/2001,6610,2456,180.356
6/2/2001,6480,2564,180.4
6/3/2001,6380,2721,165.519
6/4/2001,6300,2578,149.546
6/5/2001,6270,2331,140.958
6/6/2001,5940,2239,138.84
6/7/2001,6000,2191,137.213
6/8/2001,6220,2171,139.317
6/9/2001,6100,2218,138.642
6/10/2001,6170,2253,144.29
6/11/2001,6300,2256,131.855
6/12/2001,6430,2836,131.564
6/13/2001,6590,3799,134.46
6/14/2001,6740,3925,137.007
6/15/2001,6770,3658,132.498
6/16/2001,6610,3277,129.658
6/17/2001,6460,2932,131.586
6/18/2001,6350,2764,149.572
6/19/2001,6300,3078,192.191
6/20/2001,6380,3652,180.613
6/21/2001,6460,4350,170.579
6/22/2001,6640,4680,154.265
6/23/2001,6790,4393,123.54
6/24/2001,6980,3762,115.471
6/25/2001,7110,3194,103.748
6/26/2001,7490,2880,100.51
6/27/2001,8030,2771,106.096
6/28/2001,8470,2765,96.483
6/29/2001,8830,2655,97.88
6/30/2001,9110,2657,94.517
7/1/2001,9270,2809,87.364
7/2/2001,9330,2744,79.342
7/3/2001,9500,2622,76.074
7/4/2001,9560,2615,73.002
7/5/2001,9530,2441,82.29
7/6/2001,9400,2303,173.517
7/7/2001,9270,2210,547.555
7/8/2001,9110,2165,551.459
7/9/2001,8950,2255,375.871
7/10/2001,8650,2233,291.3
7/11/2001,8420,2157,253.199
7/12/2001,8220,2088,218.227
7/13/2001,8000,2003,191.764
7/14/2001,7810,2021,199.836
7/15/2001,7520,1939,215.156
7/16/2001,7250,1869,236.587
